Cod Cliente;Velocidade de entrega;Nível de preço;Flexibilidade de preço;Imagem do fabricante;Serviço geral;Imagem da força de vendas;Qualidade do produto;Tamanho da empresa;Nível de uso;Nível de satisfação;Especificação de compra;Estrutura de aquisição;Tipo de indústria;Tipo de situação de compra
1801548;4,1;0,6;6,9;4,7;2,4;2,3;5,2;Pequena;32;4,2;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova tarefa
1797473;1,8;3,0;6,3;6,6;2,5;4,0;8,4;Grande;43;4,3;análise do valor total;Centralizada;Açougue Supermercado;Nova tarefa
1794983;3,4;5,2;5,7;6,0;4,3;2,7;8,2;Grande;48;5,2;análise do valor total;Centralizada;Açougue Rua;Nova compra modificada
1797977;2,7;1,0;7,1;5,9;1,8;2,3;7,8;Grande;32;3,9;análise do valor total;Centralizada;Açougue Rua;Nova tarefa
1803215;6,0;0,9;9,6;7,8;3,4;4,6;4,5;Pequena;58;6,8;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova compra simples
1800184;1,9;3,3;7,9;4,8;2,6;1,9;9,7;Grande;45;4,4;análise do valor total;Centralizada;Açougue Rua;Nova compra modificada
1797273;4,6;2,4;9,5;6,6;3,5;4,5;7,6;Pequena;46;5,8;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova tarefa
1785012;1,3;4,2;6,2;5,1;2,8;2,2;6,9;Grande;44;4,3;análise do valor total;Centralizada;Açougue Supermercado;Nova compra modificada
1787627;5,5;1,6;9,4;4,7;3,5;3,0;7,6;Pequena;63;5,4;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova compra simples
1787030;4,0;3,5;6,5;6,0;3,7;3,2;8,7;Grande;54;5,4;análise do valor total;Centralizada;Açougue Supermercado;Nova compra modificada
1785328;2,4;1,6;8,8;4,8;2,0;2,8;5,8;Pequena;32;4,3;uso de especificações de compra;Não-centralizada;Açougue Supermercado;Nova tarefa
1798520;3,9;2,2;9,1;4,6;3,0;2,5;8,3;Pequena;47;5,0;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova compra modificada
1787801;2,8;1,4;8,1;3,8;2,1;1,4;6,6;Grande;39;4,4;análise do valor total;Centralizada;Açougue Supermercado;Nova tarefa
1790579;3,7;1,5;8,6;5,7;2,7;3,7;6,7;Pequena;38;5,0;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova tarefa
1787667;4,7;1,3;9,9;6,7;3,0;2,6;6,8;Pequena;54;5,9;uso de especificações de compra;Não-centralizada;Açougue Supermercado;Nova compra simples
1786452;3,4;2,0;9,7;4,7;2,7;1,7;4,8;Pequena;49;4,7;uso de especificações de compra;Não-centralizada;Açougue Supermercado;Nova compra simples
1798191;3,2;4,1;5,7;5,1;3,6;2,9;6,2;Pequena;38;4,4;uso de especificações de compra;Centralizada;Açougue Rua;Nova compra modificada
1792764;4,9;1,8;7,7;4,3;3,4;1,5;5,9;Pequena;40;5,6;uso de especificações de compra;Não-centralizada;Açougue Supermercado;Nova compra modificada
1802239;5,3;1,4;9,7;6,1;3,3;3,9;6,8;Pequena;54;5,9;uso de especificações de compra;Não-centralizada;Açougue Rua;Nova compra simples
1789792;4,7;1,3;9,9;6,7;3,0;2,6;6,8;Pequena;55;6,0;uso de especificações de compra;Não-centralizada;Açougue Supermercado;Nova compra simples
